Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,DescLength,DescNumWords,DescPolite,DescNumAdj,DescNumVerb,DescCompound,AdoptedOrNot
1,Mixed Breed Puppies,2,307,0,3,1,2,0,3,1,2,2,2,1,6,0,41326,e6d233a3d7d6e778300514c6abe3e873,0,"22 Feb : 6 mixed breed puppies were born around new year by a stray dog outside my sister's house. My sis has temporarily taken the mum & pups in so that they get good care & nutrition whilst finding them permanent homes. 1 puppy has been booked & another 5 more available (2 brown females & 3 black males). Healthy, playful & absolutely adorable - will definitely make lovely pets. Please have a heart & give them a good home. Currently 6 wks old, they will grow up to fairly large size. No tying up or cageing over a prolonged period. To be neutered or spayed when old enough. Please call my sister Joanna for further details.",b80a19455,5.0,3,628,118,2,17,20,0.9782,1
1,January,18,179,0,1,2,0,0,2,2,1,1,3,1,1,0,41326,5c72e70b2a194b86e1171e71e892643c,0,Dog for adoption,27bbc8c4f,4.0,3,16,3,0,0,0,0.0,1
1,Boston Terrier,12,42,0,2,1,7,0,1,1,1,1,1,1,1,250,41326,67452fd454e031109b19b6e167d8eae6,0,"If your looking for an active loyal and a great dog and u have space for her :) Please call. We've just recently moved into an apartment, so, we cant have pets eventhough they dont bark :( Please call, no sms or emails. Only genuine adopter are welcome. Thank you",c82f54ef6,3.0,2,263,50,3,4,9,0.9691,1
1,Pixie,2,307,0,2,1,2,7,1,1,3,3,3,1,1,0,41326,8d413d99d41394f70d5c590253f80f54,0,"""Pixie"" means ""Playful, fairy like"" and ""as a way to show their sense of humor."" .. One of the 5 puppies (Buddy,Twinkle,Elmo and Sparky) .. Hope all of them , including Pixie , can be adopted by a loving and caring family as soon as possible .. If you are interested , please call : for more info and adoption.. , thanks :)",591f1d67c,1.0,4,323,63,2,3,10,0.9698,0
1,Puppy,6,109,189,2,1,0,0,2,1,1,1,3,1,1,100,41326,c834405c336367c9987917c33de7d1ab,0,"It is born by our 2 adult dogs, which are golden retriever and rottweiler breed. This puppy is getting stronger and it needs to be taken care by a nice owner who are able to train and spend time with it.",37bf6da18,1.0,1,203,41,0,5,11,0.8225,1
1,Lucky,1,307,0,1,1,0,0,2,2,2,1,2,1,1,0,41326,9a4be7e6bde329e59d401d4cbf482a3f,0,"Lucky with his 2 siblings were found but taken by one indian one night from the vacant house.. However, he ran back to my house the next day morning....that's how he got the name.. He is active and smallest among them. His is full black with brown under his chest and his paws are brown..like a Rottweiller I should say... . If you love him, please call Darren for viewing and adoption..",c432261a7,4.0,1,387,72,1,9,14,0.9349,1
1,DIANA,18,307,307,2,1,0,0,2,1,1,1,1,1,1,0,41326,13733222f015ec6a0017c3c0527738ff,0,他是被丢在工业区的宝宝，这里两条街大概只狗狗。因为狗狗太多的关系已经惹得店家的厌恶，被报了两次MPSJ，还被追打，狗狗是无辜的，没人想当一只被人厌恶的狗。 如果狗狗不合你们的眼缘，请求大家问问身边的朋友，狗狗会对你们忠心一辈子，永不背叛。感恩。 蒲種区，雪兰莪。....... WHATSAPP,3a3ae56f1,3.0,4,147,4,0,1,1,0.0,0
1,TimTams: Playful Pets+ Great Guards,12,307,307,1,2,5,7,2,1,3,3,1,1,2,0,41326,07184fe71e0dc6ad58406e228719fd21,0,"Thank God for sending a lovely family that fits the descrption of our ideal fosterer, and would do what i listed below for the dogs! Timtams are now part of a loving family of parents +3kids+a maid and loving the wonderful corner house with grass in the compound! ----- TimTams (one is Tim, one is Tam)- to make it easier to call them! Potential adopters should be able to commit to: 1) walking the dogs 2x a day (or keep them in secured bungalow/semi-d/corner house with vast area to roam, as they love running and playing) 2) spend time playing with them (they're still quite young, and will whine for attention unless given regular affection-time with keeper) 3) give fresh water daily & proper food (they eat kibbles) 4) keep shoes in proper shoe cabinet cos one of them is still displaying puppy behaviour of chewing shoes or moving them around (unless he gets adequate exercise and attention) They appear to be brothers, and was roaming Ara Damansara area when found. Plus points about these dogs: 1) trainable: know how to sit/shakehand/come 2) loves children and will play with kids - excellent FAMILY PETs! 3) chase cats (but don't attack them) 4) will bark at strangers - good alert dogs! 5) friendly to keeper and friends 6) great with older folks because of gentle nature - makes excellent FAMIlY PETs! 7) get along with other dogs, even male dogs (possibly because not fully sexually mature and also very gentle + playful in nature), so can join family with existing dogs. NOTE: Will only entertain genuine adopters who'd take either one or both dogs as family pets. They get along well with other dogs. Tim once ran up to an Alsation in my neighbourhood and I thought he'd be minced meat, but they got along fine! Tam was badly injured (possibly by other dogs) when he was rescued, so he'd need responsible owners who'd make sure he's kept in a safe environment.",eda8eecc6,20.0,3,1876,331,1,34,68,0.9937,1
1,Rambo,2,32,307,1,1,2,7,2,1,2,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,Rambo is a cute puppy just under two months old. His name comes from his unique brindle coat and his cool character. Also has a black muzzle but not as distinct as his brothr Tiger due to his fur color. Active and loves to play with humans. Adopter must vaccinate and spay him. Please give him a good home. Check out his brother Tiger too.,0ecc1200a,4.0,2,339,65,1,11,8,0.9688,1
1,Zone A2 P12,6,307,0,2,1,2,7,1,1,1,1,2,1,1,0,41326,37237ca3633d20c004ec76c0c2ddb4b7,0,I need a new home!! Contact Furry Friends Farm if you want to adopt me.,eeb377c0b,2.0,4,71,15,0,1,3,0.6892,0
1,Fluffy,96,205,0,2,5,7,0,1,2,1,1,3,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"ONLY FOR KLANG VALLEY Fluffy is looking for a new home. Her current owner is pregnant and cant care for her anymore. She was adopted recently so owner doesn't have much details about her background. Once she is settled in, she does know how to do her toilet during walks. She is afraid of big dogs but ok with small breed dogs. Generally easygoing girl. No caging or tying her up. Adopter will have to pay for her neutering. We hope she will be able to find a loving owner who can give her the best care. Please call if you can give her a good home.",bc1319810,2.0,3,549,107,1,11,24,0.9678,1
1,Diana,1,141,0,2,1,4,7,2,1,2,2,2,1,1,0,41325,3550120cf55a324cad448403189d511b,0,An awesome dog!,2204729ca,1.0,1,15,3,0,1,0,0.6588,1
1,Peanutt,4,307,218,2,2,7,0,2,1,1,1,2,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Peanut, along with her sisters Pebbles and Cookie, are three cute doggies in need of a home. Peanut is a friendly and easygoing pup, very alert and smart. Obedient girl and can sit quietly in a car on your lap. Vaccination and neutering are compulsory, cost to be borne by adopter. No tying up or caging unless necessary for short hours. Please give her a good home.",7aae61018,16.0,3,366,67,1,8,11,0.9428,1
1,Joni,4,307,307,2,7,0,0,1,1,3,1,1,1,1,0,41326,e8b60179614aa81703e01108649313b4,0,Friendly and petite size dog available for adoption. Female and 4 months.,ada93cece,2.0,4,73,12,0,2,0,0.4939,0
1,Oreo,36,307,0,1,3,0,0,2,2,3,3,2,1,1,0,41326,6b624ec0157ee1727cebfa9dcaca458e,0,"THE PLIGHT OF OREO Oreo was approximate 3 years old when found on the side of the road in Seri kembangan, Selangor. With broken hind legs. Probably knocked by a vehicle. He was crying but no passer-by cared to rescue him. My friends from the neigbourhood and I decided to check him out after hearing his cry for a couple of days and noticed that he was an abandoned puppy with serious injuries. We quickly raised funds ourselves and sent him to the vet for operations. Now, he is as healthy and lively as any other puppy. Soon after he was healed, we put his up for adoption as my friend's parents strongly against her keeping ""Oreo"" as pet. Finally, a kind lady adopted ""Oreo"" but only for 2 weeks. She surrendered Oreo to us saying the dog is just not right for her and Oreo has lost because she was careless . Finally my friend get to found ""Oreo"" in some where. Now, we have to put Oreo up for adoption again. I really hope that a kind person with love and care for animals will adopt Oreo and give him a comfortable live. He has gone through many hardship. From being abandoned to severe injuries, then adopted to be abandoned again. If you are touched and would love to keep Oreo, a lively and active puppy of 3 years old ,please call at Shirmy or Yeng Tian . Every dog, including Oreo deserves a second chance. * Please note that the photography of Oreo was done FOC by a kind photographer, Andrew 洋葱头, who pitied the plight of Oreo",3b4a987ba,3.0,4,1439,271,2,15,51,0.9939,0
1,PERRO,2,307,0,2,1,0,0,2,1,1,1,2,2,1,0,41401,334ec1ddeb17cae60b0dd2b7f120e90a,0,"Some weeks ago I went to Ulu Lungut and on the middle of the road, I saw a puppy in a very bad condition. I took her to the vet, where she stayed for all the checking for 2 days, after it I bring her home but the problem is that in some month I have to leave the country and I cant keep her longer,, please I need help...someone that can take care of her. It seems that she will be a good guardian...she is very kind and nice...she just need a good person who wants to take care of her..",311ee8343,4.0,4,487,102,1,4,18,0.964,0
1,KL Siblings,1,307,307,3,1,2,5,2,2,2,2,2,1,6,0,41330,60689896aa0edff3a4f05b890bdafd26,0,Hi everyone This group of puppies are looking for their forever home. Anyone interested to provide them a home and a loving family pls contact me. Thank you,5510ac89a,6.0,3,156,28,1,2,4,0.8555,1
1,No Name 2,3,307,0,2,1,5,7,2,2,2,2,2,1,2,0,41326,0fabe9843b642bfa9156250a655e07f5,0,I found this 2 puppies on my way to work interested pls call or sms or wechat Karen,d9b9b0174,4.0,3,83,18,0,1,2,0.4588,1
1,McKenzie,2,307,0,2,2,3,7,2,1,1,1,2,1,1,0,41326,f2c18ef79878ba665e83d2c7ecfc2a68,0,"McKenzie is a very sweet and beautiful girl looking for a forever home. We have been taking for McKenzie, her brothers and mother since they were born. Now the time has come to find a loving home for Mc Kenzie. Are you ready to take this sweetie into your heart and home? Call Bella or Helena.",a1019e087,2.0,3,293,56,0,3,11,0.9559,1
1,Puppies (KJ),1,307,0,3,1,2,7,2,2,2,2,2,1,7,0,41326,db784cbcf321e1d8856b312638b94113,0,one of the strays we feed gave birth to 7 puppies (already pregnant when we first fed her). 5 males and 2 females. we have been taking close care of her puppies. they are for adoption! Lester Jenny will you adopt them? ================================================== Adopters are required to vaccinate and neuter them. ==================================================,0d47275d4,16.0,1,372,52,0,2,14,0.636,1
1,Huts,3,307,0,2,1,2,7,2,1,1,1,2,1,1,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,These puppies are healthy and playful. Need loving homes,b041aab9f,2.0,2,56,9,0,2,3,0.8591,1
1,Big Bone Labrador,8,141,0,2,3,0,0,3,1,1,1,2,1,1,300,41326,207a3326dd4c3fa0842cd0c2300ee940,0,Her name is MeiMei Healthy active girl Due to new working we unable to spend time with her so decide to up for adoption with some fees. She loves to play with kids Know very simple command 'sit' If interested pls drop phone number or whatapps,4a2544358,2.0,2,242,46,0,5,6,0.9136,1
1,Two Lovable Female Doggies,24,307,0,2,2,0,0,3,1,2,2,1,1,2,0,41326,8bdccd7204637fd93939a5ec4cfb0044,0,"This is a story about Clever, Hong Hong and Bobby. They grew up along Anggerik Aranda . They weren't abandoned by their parents. It's just that being canine, unlicensed ones, their parents were captured by MBSA two years ago. Since then, residents of have been taking care of them by feeding and sheltering them whenever possible. As they are females, they have all been neutered (at 9 months old) to ensure unsolicited attention from other male canines. Bobby (a female but named such), in human being's term, is like an autistic child. She was traumatised by her parents' abduction at an early age and is extremely afraid of human. She is very attached to Nike (the male Alsation, living in the first house, two doors away). It's extremely difficult to capture her, even MBSA has failed many times. Clever, as she was taken away from her mum at birth(someone adopted her and didn't want her after a few months) and was whining and pining for her for the initial few weeks..... she is pretty hyper, short fused and likes to chase cars.... and strangers.... so I am terribly if anyone here has been chased or barked by her. However, her bark is worse than her bite, just give her a shout and fierce look,she will run off....... She is a very good watch dog though..... and very obediently comes back to the house after she has done her share of running for the night. She doesn't eat much but more frequent than usual (three small portion), not choosy about her food and she's fine with water. She isn't the lovey dovey type though. As for Hong Hong, she is definitely the prima donna type. Loves to be cuddled, will know how to win back your heart after being naughty. She will look at you with her almond shaped eyes and lift her paws and rest them on you...... She's awfully afraid of thunder and will hide behind you or try to get into the house whenever it rains cats and dogs. She hates water and chooses food) For months now, i have kept Clever and Hong Hong in my house. Sometimes they do escaped but they will still head home for food. Bobby, she's outside, she has been taking care of herself. I just feed her dinner every evening. Actually, the three of them are part of a litter of 8. We have managed to get the rest adopted..... It is with a heavy heart that i have to put Clever and Hong Hong up for adoption. One of the main reasons is, my son and I are acute bronchitis sufferers and having dogs in our compound aren't helping with our condition. Secondly, i am having some muslim students coming to my house for classes next year and it is not convenient for the dogs to be around....... Hong Hong can be a really good companion dog and Clever, a good watch dog..... If you know of anyone who is looking for such dogs, please let me know.... my contact no is. Only serious inquiries will be entertained. Thank you very much for your kind attention. BTW, April, one of their siblings, is staying at one of the neighbour's house along too..... so actually is a doggy's lane..... most of us love dogs, and because of them, we are a closely knitted neighbourhood..... we know each other well and watch out for one another..... Hope adopting Hong Hong or Clever will bring such atmosphere to your neighbourhood too.... Cheers..... I am up by one now coz a neighbour who initially taken one of the female pups have decided not to keep the pups......",379d5e10d,1.0,4,3360,613,2,48,134,0.9948,0
1,Happy,24,307,0,2,1,0,0,2,1,1,1,1,1,1,50,41326,d1fa17d61dac84e7cb9f5d01fce4f24d,0,Happy is a lost dog who came to my house.,42ea2e045,2.0,4,41,10,0,2,2,0.34,0
1,A4,3,307,307,2,1,2,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,84e146ba6,2.0,3,12,2,0,0,0,0.0,1
1,Scotty And Snowy,42,130,307,3,1,7,0,2,2,1,1,1,1,2,0,41326,50c29d41831474297fd116e6e0877c0f,0,"I am an owner of 2 dogs (Japanese Mixed Spitz). currently i am desperately looking for a good owner to adopt my dogs. The reason are because both my husband and me are leaving separately due to my 2 kids. I am leaving with my parents-in-law in KL while my husband is leaving in Subang with my 2 dogs and he is always away for business trip, therefore there's no one to help us to look after the dogs. At the moment, i'll be only be going back to Subang during the weekends with my kids (one is 2 1/2 yr old and another is coming to 4 months). We find that we are neglecting the 2 dogs and it is not good for them, that's why we urgently looking for a good owner who really loves dogs",79f358573,4.0,3,683,138,0,6,30,0.8622,1
1,Angel,1,307,0,2,2,5,7,2,2,1,2,2,1,1,40,41327,7f74401ff1a7ca18737bc527ccf23a45,0,Adoption fee charges will be rm40 for her first vaccination jap as she is vaccinated for her first jap. Any other donations are encouraged for the use of our shelter(MERCY PERAI) but its up to the adopter (not compulsary). This pup is rescued from the streets and she is vry playful and friendly to everyone. can go along with kids or anyone.,226e8fe7c,1.0,4,342,62,0,8,8,0.9194,0
1,Tauriel,3,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,86a79080944cc9d3c0228269e4c5c6e9,1,"Tauriel is a loving, smart and really quiet dog. She is the best pet I have ever had, but she can't stay in a condominium. I'm looking for someone that has landed property and can commit to giving her a good life.",358270782,6.0,4,213,42,0,4,11,0.9398,0
1,Black Black Gals,2,307,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,86f9dd3d596a0df3928b38be2e887407,0,"2 female pups up for adoption. Definitely cute and smart. group of 5 pups, 2 died, 1 male adopted, left 2 female pups , location at Sg Long， Kajang.",521320b95,3.0,2,148,29,0,3,3,0.5859,1
1,Polka Dots,3,307,0,2,1,7,0,2,2,1,1,2,1,1,150,41326,a23a047157d709e38cf801a723a246ba,0,"Dalmatian cross. Rescued from the street, she is now currently under SAS care. Toilet trained, well behave during off leash.",dd2452dfa,3.0,1,124,20,0,1,4,0.7964,1
1,-Unknown-,60,307,0,2,3,4,0,3,2,3,3,3,1,1,0,41325,64fa2d47b5a901b746b077d2d4bbc7ef,0,"Abundant for around 3 months by owner after they moved. Est age around 4-5 yrs old. Currently feed by neighboring people. Get to know her since 3 years ago, as my babysitter just staying beside. She is a calm and friendly girl, and never bark at me all these years. Looks clean, and healthy. But she's really sad recently. Hope to get her a warm home as I already have one and not afford to adopt her..",95bc62678,5.0,4,402,77,0,7,13,0.8765,0
1,BB,2,307,307,2,2,0,0,2,2,1,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,4128e8e80,1.0,1,12,2,0,0,0,0.0,1
1,Tikky In Kulim,3,307,0,2,2,0,0,3,1,2,1,2,1,1,0,41325,5b713a4d7902d3e516f80a0761afc403,0,This little darling will smile with her eyes and make u melt. She is very active and likes a lot of attention. Very good family dog...loves kids.....pls open your heart n home to love her....adopter must spay the pup. P.s. Ticky has a sister Tikka,0b8e1dd80,6.0,4,247,45,0,4,10,0.9595,0
1,Pororo And The Gang,1,307,307,2,1,2,0,1,1,2,1,2,1,3,50,41330,21b81aa1598f0e550d1099b02d8ffaa4,1,"They were 6 of them. 3 already taken. Now only 3 females left. They are found in my neighbourhood. The mom's suspected caught by the authority. Their age as for 16 August , is 6-7 weeks. They have wounds caused by the fleas. But i already sent them to vet for treatment, deworm and deflea. The vet shaved their fur because the condition was so bad. And they are recovering and healing fast. Waiting for the fur to grow back on. They are good kids and deserve new better home. Please adopt them. They are able to be vaccined in 2 weeks time according to the vet.",c29a364bc,11.0,3,561,107,1,7,25,0.4037,1
1,Pug For Adoption,9,182,0,2,1,5,0,2,1,1,1,2,1,1,500,41326,881437284a131a4d83d44f6ac42b4f54,0,"Pug is looking for new owner. She is very friendly pet, can be your good friend always~ For pet lover only~",396910627,1.0,2,107,21,0,4,4,0.9245,1
1,Buffy,16,173,10,2,2,7,0,3,1,3,1,1,1,1,200,41326,76b52573d0f4c07c5efb11011eca42c2,0,"Friendly dog, good with children and very energetic. I am looking to give away Buffy to a responsible owner as soon as possible or else will be passing over to SPCA end of this month as I am moving to a condo and wont be able to have pets.",e554a9066,2.0,2,239,49,0,5,9,0.8908,1
1,Biscuit & Brownie,2,307,0,2,2,0,0,2,1,2,1,2,1,8,0,41326,c28d7a4697a2b731ec973c4c95ff8321,0,"Happy, easygoing puppies. We'll sponsor their spaying if you can give them a good, loving home! Urgently need kind and loving home for each of these pups. They are pups from one of the mother who is stray in the area. I can't keep them because my father dislike dogs, but he's allowing them to stay temporarily for the pup's safety.",cc081896e,9.0,3,332,61,0,3,11,0.9223,1
1,Ka-eL,2,179,195,1,2,0,0,1,2,2,1,2,1,1,450,41326,7a22a977b447e38f94017409294d1932,0,Schnoodle pup for adoption. Adoption fees RM is required as below: 1. RM (non-refundable) to cover his food & medical expenses. 2. RM (refundable) as deposit and will be refunded to you once you've neutered the puppy. For serious adopter Only!,12c4ed873,3.0,1,243,41,0,5,7,-0.1511,1
1,Happy,21,10,307,2,2,7,0,2,1,1,1,1,2,1,0,41326,1d3441a8f19d8fc42969688b4d2be2f6,0,"For adoption, Happy, staffordshire mix, spayed female, 1year and 9months old..friendly and cute.. slight skin problem, owner don't want to take care ald.. one week period to rehome or else xxx.. for those who willing to treat her skin and take care of her sincerely only.. selangor area.. Urgent!!! Pls call if interest, office hour tue-fri 9am-6.30pm, sat-sun 10am-4.30pm. Contact thru phone only!",c2cad7ef6,2.0,3,398,63,0,8,10,0.9598,1
1,Doody,3,307,0,1,2,7,0,2,1,2,1,2,1,1,0,41330,530f57b53cb3199e1d5e67733ddc0876,0,"Doody was found with another 3 of his siblings under a vehicle. This little fellow has been de-ticked and de-wormed, now waiting to meet his new owner. If you think you can give him a loving home, kindly call Ms.Sandy at.",a7402f657,4.0,1,221,41,0,5,8,0.7964,1
1,Simba Boy,2,307,0,1,1,2,0,2,2,1,1,2,1,1,60,41327,fd970cc91d06d82eebf046340137b272,0,"He was rescued by a kind lady and send to us. he is about 2 months old. Vaccinated and deworm. Adopters must vaccinate, neuter and keep him indoors/fenced. call/WhatsApp: Address: ONE PETZ 2-1-20 ONE SQUARE, TINGKAT MAHSURI 1, BAYAN LEPAS, PENANG.",628f11673,3.0,1,247,41,0,3,6,0.7351,1
1,FiFi.,6,307,0,1,1,7,0,2,2,1,1,3,1,1,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,"healthy, happy and looking for a good home. please adopt me! please:)",239326fd2,1.0,4,69,12,2,3,3,0.9117,0
1,Sweetheart,24,141,307,2,3,5,0,3,2,1,1,1,1,1,0,41330,530f57b53cb3199e1d5e67733ddc0876,0,"Beautiful Goldie was found wondering by the road side. She has just given birth and we will get her spayed before adoption. She is generally very healthy and She has a very good temperament and is very easy going. If you think you can give her a loving home, kindly contact us at or visit her at Jean Vet Centre - 12 Jalan Medan Ipoh, Taman Ipoh Timur, Ipoh.",863738ca1,1.0,2,358,69,0,4,13,0.9656,1
1,S4,1,307,307,1,1,2,7,2,2,2,1,2,1,1,0,41326,b53c34474d9e24574bcec6a3d3306a0d,0,For Adoption,c9c5b665b,3.0,2,12,2,0,0,0,0.0,1
1,Labrador Mix,84,141,0,2,2,5,0,3,1,1,1,1,1,1,0,41401,fd5457d594938e4ece766cae6eaea6a5,0,"Dear everyone, My friend found a Labrador Mix on street, we think it lost or abandoned by owner. My friend bring her to spayed and take care of her until healthy. Now we looking a lovely home for her, any interest kindly contact my friend : (li mei) Adopt without Shop Thank you. =] ********************************************* 各位好， 我朋友在路边发现了一只拉布拉多犬，并救起来。不知它是走失了或是被遗弃了。我朋友带它结扎与把它照顾得健康了。 现在是时候帮它找个安乐窝 有兴趣者请联络我朋友 : (li mei) 谢绝玩弄哦 领养代替购买 谢谢。",14155e8c0,1.0,4,439,65,1,5,12,0.975,0
1,Pat-ches,18,307,0,1,1,2,7,2,1,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,Patches is a healthy active dog. Very handsome and alert. Smart and Toilet trained on grass. Makes a good companion and watchdog. Please call if you can give him a good home.,46f656f13,6.0,4,174,32,1,6,6,0.9646,0
1,Kiki,12,307,0,1,1,0,0,2,1,2,1,1,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,"Kiki is a 1 year old full black male dog and has been nuetered. He gets along very well with other dogs and very playful. Anyone who would like to adopt him, kindly contact me at /. Free transportation can be arranged if you are from KL, Selangor, NS, Melaka or JB. p/s: No tying up or caging or letting him out without leash. Thank you..",083787e4a,4.0,2,338,66,1,6,14,0.8996,1
1,3 Siblings (Female-Retriever Pups),3,307,187,2,1,3,5,3,2,1,1,2,1,1,0,41326,3b074cadd2350de62dca7056b9bab6f4,0,"serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS/ Whatapps to Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",2fb24b53d,19.0,1,340,50,0,4,9,0.7088,1
1,Muffin,60,179,0,1,2,0,0,2,2,1,2,2,1,1,0,41326,337914b09c2fa5460e195197e994ef98,0,"Adorable 5 year old Muffin looking for a forever home - He gets along well with other dogs - Child friendly - Affectionate towards companion If interested, please contact Wen Jing. Thanks!",de4de2e7c,2.0,3,188,32,2,6,3,0.9558,1
1,Darshan,1,307,0,1,2,7,0,2,2,3,3,2,1,1,0,41326,fa90fa5b1ee11c86938398b60abc32cb,0,V lovely puppy looking for a home sweet home. If u are interested to adopt pls contact Rachel,d29627289,4.0,4,93,18,0,4,3,0.8885,0
1,Miller & Louisa,12,141,103,3,1,5,0,2,2,1,3,1,1,2,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,"Look at these two beauties... they don't understand that their life is about to get really sad unless someone can adopt them... Their names are Miller the white colour and Louisa the black and tan Both are a year old vaccinated and spayed Urgent homes needed owner is very ill he is physically too week to take care of them. Please give them another loving home together. They are playful, loving and very loyal, they don't want to leave their owner. Not cat friendly, don't adopt if you have cats. Thank you for reading about them, have they touched your hearts the way they have touched mine?",352522dbd,6.0,2,594,107,2,9,29,0.9442,1
1,Titus,1,307,0,1,2,0,0,2,2,2,2,2,1,1,0,41327,7f74401ff1a7ca18737bc527ccf23a45,0,no fee charges but any donations will b vry much appreciated and helpful to our family shelter which consist of 80 fur kids. its totally up to certain individual.,0244298a9,3.0,2,162,29,0,5,2,0.8763,1
